localite,delegation,gouvernorat,region,code_postal,aliases,confidence
CENTRE URBAIN NORD,ETTADHAMEN,ARIANA,GRAND TUNIS,2036,CENTRE URBAIN NORD|CUN,HIGH
CITE EZZOUHOUR,EZZOUHOUR,TUNIS,GRAND TUNIS,1008,CITE EZZOUHOUR|CITE EZ ZOUHOUR,HIGH
LAC,LAC,TUNIS,GRAND TUNIS,1053,LAC|LES LACS,HIGH
MENZAH 9,EL MENZAH,ARIANA,GRAND TUNIS,1013,MENZAH 9|EL MENZAH 9|MENZAH9,HIGH
JARDINS DE CARTHAGE,LA MARSA,ARIANA,GRAND TUNIS,2078,JARDINS DE CARTHAGE|JARDIN DE CARTHAGE,HIGH
ENNAKHIL,ENNAKHIL,ARIANA,GRAND TUNIS,2088,ENNAKHIL|ENNAKEL|ENNAKHEL,HIGH
DJEBA,HOUMET ESSOUK,MEDENINE,SUD-EST,4180,DJEBA|JERBA,HIGH
HOUMET ESSOUK,HOUMET ESSOUK,MEDENINE,SUD-EST,4180,HOUMET ESSOUK|HOMET SOUK,HIGH
AJIM,AJIM,MEDENINE,SUD-EST,4135,AJIM|AJIM JERBA,HIGH
SELIANA,SILIANA,SILIANA,NORD-OUEST,6100,SELIANA|SILIENA,HIGH
OUED GUERIANA,GUERIANA,KASSERINE,CENTRE-OUEST,1263,OUED GUERIANA,HIGH
ZAREMDIN,ZAREMDIN,NABEUL,NORD-EST,8040,ZAREMDIN|ZAREMDINE,HIGH
BIR EL BEY,BIR EL BEY,BEN AROUS,GRAND TUNIS,2024,BIR EL BEY|BIR EL BEI,HIGH
CITE ETTAHRIR,EZZOUHOUR,TUNIS,GRAND TUNIS,1008,CITE ETTAHRIR|CITE ETTAHRI,HIGH
CITE KHADHRA,BABELKHADRA,TUNIS,GRAND TUNIS,1002,CITE KHADHRA|KHADHRA,HIGH
RIADH ANDALOUS,ARIANA,ARIANA,GRAND TUNIS,2058,RIADH ANDALOUS|RIADH LANDALOUS|RIYADH ANDALOUS,HIGH
EL KSOUR,LES KSOUR,KEF,NORD-OUEST,7140,EL KSOUR,HIGH
SOLTANIA,SFAX VILLE,SFAX,CENTRE-EST,3000,SOLTANIA|SULTANIA,HIGH
BEB SAADOUN,MEDINA,TUNIS,GRAND TUNIS,1006,BEB SAADOUN|BAB SAADOUN|BAB SAADUN,HIGH
MJEZ EL BEB,MEDJEZ EL BAB,BEJA,NORD-OUEST,9070,MJEZ EL BEB|MJEZ ELBEB,HIGH
MENZEL CHEKER,MENZEL CHAKER,MAHDIA,CENTRE-EST,5160,MENZEL CHEKER|MENZEL HEDI CHEKER,HIGH
MAKNASSY,MAKNASSY,SIDI BOUZID,CENTRE-OUEST,9140,MAKNASSY|MEKNASSY|MAKNASSI,HIGH
