code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
1124,CITE BEN HASSINE,CITE BEN HASSINE,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE DE LA RTT,CITE DE LA RTT,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE DES ANDALOUS,CITE DES ANDALOUS,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE DHAMENE,CITE DHAMENE,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE DHNIBA,CITE DHNIBA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1134,CITE ECOLE PRIMAIRE,CITE ECOLE PRIMAIRE,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE EL BARAKA,CITE EL BARAKA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE EL HIDAYA,CITE EL HIDAYA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE ENNAJET,CITE ENNAJET,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE ENNOUR,CITE ENNOUR,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE ERRIADH,CITE ERRIADH,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE ESSAROULA,CITE ESSAROULA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE GUICHBA,CITE GUICHBA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE HABIB EL AYARI,CITE HABIB EL AYARI,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
