numero_permis,n_occurrences,is_suspect
03/136295,7,False
01/423787,7,False
02/271573,7,False
01/338503,7,False
02/203732,7,False
01/169990,7,False
23/126523,7,False
24/134740,7,False
00/423963,7,False
09/124722,7,False
21/25757,7,False
01/87315,7,False
22/149443,7,False
14/121611,7,False
23/205106,7,False
02/185127,7,False
24/80881,7,False
02/198057,7,False
24/58333,7,False
04/69039,7,False
00/379603,7,False
02/276093,7,False
01/233580,7,False
09/26413,6,False
02/79075,6,False
14/12342,6,False
23/73586,6,False
01/3659821,6,False
15/000000,6,False
23/112107,6,False
01/653210,6,False
01/99982,6,False
22/45243,6,False
13/9116,6,False
00/323679,6,False
17/30504,6,False
15/4477,6,False
01/28138,6,False
01/44898,6,False
08/4571,6,False
15/115115,6,False
03/12569,6,False
01/23656,6,False
01/273371,6,False
02/101727,6,False
09/33406,6,False
91/596443,6,False
01/336016,6,False
01/365272,6,False
01/314017,6,False
24/8563,6,False
23/105037,6,False
01/204964,6,False
03/6668,6,False
01/309072,6,False
23/43227,6,False
SAN CONDUC,6,False
23/123468,6,False
08/58472,6,False
08/10174,6,False
23/13306,6,False
01/363661,6,False
01/8895,6,False
23/54081,6,False
03/1259,6,False
17/11309,6,False
12/0032698,6,False
23/171934,6,False
24/63034,6,False
01/322031,6,False
01/108072,6,False
08/37139,6,False
01/386333,6,False
02/125832,6,False
02/263417,6,False
00/458137,6,False
02/72981,6,False
01/61644,6,False
17/10412,6,False
08/66474,6,False
05/70603,6,False
01/497921,6,False
23/8676,6,False
08/45721,6,False
24/28978,6,False
15/11447,6,False
14/51471,6,False
01/197835,6,False
23/130926,6,False
01/71240,6,False
01/242350,6,False
15/61271,6,False
16/015242,6,False
00/460735,6,False
17/36218,6,False
15/125489,6,False
SANS CONUC,6,False
01/2564,6,False
01/107258,6,False
01/279697,6,False
02/72968,6,False
01/130773,6,False
22/87616,6,False
01/198044,6,False
01/248555,6,False
01/235648,6,False
01/129200,6,False
01/304125,6,False
01/337024,6,False
15/012458,6,False
08/14171,6,False
23/159662,6,False
01/185410,6,False
17/8825,6,False
14/147503,6,False
23/115726,6,False
01/22365,6,False
01/98871,6,False
03/1569,6,False
21/11691,6,False
24/21320,6,False
01/350859,6,False
03/123346,6,False
09/456987,6,False
24/006798,6,False
23/83276,6,False
20/14899,6,False
00/416689,6,False
02/73362,6,False
15/02369,6,False
00/314256,6,False
01/170985,6,False
01/313836,6,False
01/271563,6,False
12/10807,6,False
23/133747,6,False
22/57056,6,False
1115092,6,False
23/112533,6,False
01/125478,6,False
13/21932,6,False
01/134269,6,False
23/52104,6,False
23/199875,6,False
01/144005,6,False
20/23901,6,False
10/1000000,6,False
01/306121,6,False
22/67761,6,False
24/126100,6,False
13/27497,6,False
01/248510,6,False
02/212872,6,False
23/176635,6,False
02/2121,6,False
23/122126,6,False
23/167047,6,False
01/88867,6,False
SANS CONU,6,False
13/31801,6,False
02/268221,6,False
01/524686,6,False
01/447469,6,False
01/442889,6,False
23/91501,6,False
02/133064,6,False
02/227834,6,False
00/188583,6,False
01/229433,6,False
23/2569,6,False
24/145052,6,False
24/30187,6,False
23/38099,6,False
07/159549,6,False
02/80428,6,False
22/35683,6,False
01391840,6,False
01/219207,6,False
15/88691,6,False
15/37425,6,False
09/172737,6,False
01/257328,6,False
02/5555,6,False
23/89975,6,False
01/259250,6,False
01/427720,6,False
23/114930,6,False
01/225739,6,False
23/172738,6,False
23/151863,6,False
01/416182,6,False
01/365636,6,False
22/68563,6,False
14/7061,6,False
02/316710,6,False
01/326996,6,False
08/45127,6,False
03/111267,6,False
01/495253,6,False
23/184385,6,False
24/50667,6,False
14/ 001,6,False
23/37692,6,False
23/103426,6,False
01/369811,6,False
01/154537,6,False
01/515336,6,False
22/45416,6,False
24/66544,6,False
05/35338,6,False
24/18232,6,False
00/346082,6,False
01/337700,6,False
01/359778,6,False
22/22689,6,False
01/307622,6,False
23/172149,6,False
01/430030,6,False
22/141303,6,False
23/14334,6,False
15/01245,6,False
01/48306,6,False
01/1235,6,False
04/117268,6,False
01/167752,6,False
01/411284,6,False
20/14348,6,False
23/168530,6,False
11/112112,6,False
14/00000,6,False
01/244808,6,False
00/213582,6,False
09/14674,6,False
17/46451,6,False
01/380744,6,False
01/198883,6,False
01/339525,6,False
24/83426,6,False
01/365982,6,False
23/82097,6,False
01/179829,6,False
12/2212,6,False
01/544298,6,False
02/161819,6,False
01011111,6,False
01/3265410,6,False
01/218140,6,False
02/52308,6,False
01/228675,6,False
01/259995,6,False
22/70340,6,False
01/152485,6,False
03/95959,6,False
16/8743,6,False
22/34457,6,False
23/3467,6,False
23/26323,6,False
02/328118,6,False
02/162699,6,False
02/291274,6,False
01/448711,6,False
03/108891,6,False
02/114111,6,False
01/460523,6,False
12/21212,6,False
14/68852,6,False
02/173399,6,False
24/67452,6,False
23/158073,6,False
03/71604,6,False
22/47593,6,False
02/217550,6,False
23/194707,6,False
01/284661,6,False
18/47807,6,False
23/104569,6,False
14/88367,6,False
03/51812,6,False
09/132234,6,False
23/99982,6,False
23/45206,6,False
23/243735,6,False
01/530053,6,False
02/329821,6,False
03/234337,6,False
09/61460,6,False
03/128238,6,False
15/42158,6,False
14/108338,6,False
01/243005,6,False
02/113608,6,False
02/43036,6,False
23/249612,6,False
02/166528,6,False
23/58629,6,False
02/294715,6,False
01/569346,6,False
07/187417,6,False
24/114378,6,False
00/203345,6,False
00/285344,6,False
0 0000000,6,False
22/91272,6,False
02/206737,6,False
22/73554,6,False
02/139692,6,False
02/331825,6,False
03/178177,6,False
01/349710,6,False
12/12121,6,False
01/326040,6,False
00/457907,6,False
01/197456,6,False
23/81702,6,False
01/345330,6,False
01/160256,6,False
01/0000001,6,False
23/64844,6,False
03/5285,6,False
24/38823,6,False
XXXXXXXX,6,False
01/2450,6,False
01/385343,6,False
23/104338,6,False
24/97170,6,False
05/52904,6,False
23/174113,6,False
01/470412,6,False
24/12011,6,False
23/100503,6,False
22/13363,6,False
02/228635,6,False
01/461899,6,False
02/164113,6,False
01/305974,6,False
01/359135,6,False
01/321401,6,False
02/63418,6,False
23/112192,6,False
02/2356,6,False
23/47120,6,False
17/40872,6,False
19/17812,6,False
06/29400,6,False
09/119061,6,False
01/159650,6,False
01/460992,6,False
01/392885,6,False
24/63469,6,False
02/148074,6,False
23/189584,6,False
02/327621,6,False
09/187358,6,False
00/ 000,6,False
01/396545,6,False
22/59733,6,False
01/307107,6,False
01/247551,6,False
01/414320,6,False
23/104692,6,False
23/118978,6,False
23/7197,6,False
21/9432,6,False
17/18726,6,False
22/134889,6,False
23/66943,6,False
01/406233,6,False
04/5056437,6,False
23/158643,6,False
23/63587,6,False
10/12393,6,False
01/200217,6,False
08/17672,6,False
01/511987,6,False
00/453414,6,False
02/248005,6,False
01/458801,6,False
21/54037,6,False
01/324118,6,False
02/83761,6,False
23/56710,6,False
01195569,6,False
14/ 00001,6,False
01/26841,6,False
01/76382,6,False
01/201500,6,False
02/144869,6,False
14/65872,6,False
01/397340,6,False
23/198672,6,False
01/358714,6,False
23/204100,6,False
02/309550,6,False
17/27953,6,False
01/392717,6,False
0102222,6,False
12/55928,6,False
23/7331,6,False
01/198755,6,False
01/443134,6,False
01/1254687,6,False
02/280472,6,False
01/294645,6,False
23/95876,6,False
01/292545,6,False
23/106405,6,False
00/442543,6,False
01/527670,6,False
09/87434,6,False
01/502321,6,False
01/384961,6,False
01/341560,6,False
24/71364,6,False
01/504219,6,False
23/101146,6,False
17/28837,6,False
23/12812,6,False
02/192646,6,False
23/134499,6,False
22/137754,6,False
22/111761,6,False
14/45738,6,False
23/97423,6,False
01/526942,6,False
22/44056,6,False
01/440271,6,False
00/463592,6,False
01/146975,6,False
01/186391,6,False
05/101414,6,False
22/50865,6,False
09/204494,6,False
15/57558,6,False
16/29495,6,False
02/100981,6,False
23/60005,6,False
12/9738,6,False
2315662,6,False
23/82756,6,False
01/285793,6,False
03/181013,6,False
01/210808,6,False
01/378854,6,False
23/111031,6,False
01/389055,6,False
11/24677,6,False
09/112465,6,False
09/151953,6,False
03/246896,6,False
01/513270,6,False
01/387639,6,False
04/191466,6,False
12/58233,6,False
23/69487,6,False
14/4623,6,False
12/57656,6,False
09/38660,6,False
01/736797,6,False
14/105908,6,False
09/195296,6,False
09/65571,6,False
02/266262,6,False
00/040384,6,False
02/296794,6,False
08/52457,5,False
01/212959,5,False
01/368223,5,False
01/2121,5,False
22/74346,5,False
01/240814,5,False
01/160941,5,False
11/18300,5,False
0824383,5,False
23/14065,5,False
23/78743,5,False
22/129663,5,False
09/25523,5,False
23/5385,5,False
14/99252,5,False
22/118392,5,False
24/60618,5,False
17/42032,5,False
01/231499,5,False
17/41872,5,False
22/102659,5,False
03/47761,5,False
23/5261,5,False
01/239874,5,False
18/15100,5,False
01/123654,5,False
